시군명,사업장명,인허가일자,영업상태명,폐업일자,다중이용업소여부,총시설규모(㎡),위생업종명,위생업태명,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
용인시,CU용인휴양림점,20171128,영업,,N,,,편의점,"경기도 용인시 처인구 모현읍 초부로 60, 가동 1층","경기도 용인시 처인구 모현읍 초부리 115-2번지 (가동, 1층)",17037,37.3130685,127.2477302
용인시,GS25용인갈담점,20110926,영업,,N,,,편의점,경기도 용인시 처인구 모현읍 백옥대로 2228 GS25마트내 (갈담리),경기도 용인시 처인구 모현읍 갈담리 332-6번지 GS25마트내,17036,37.3233467,127.2445594
용인시,GS25 구성래미안점,20161007,영업,,N,,,편의점,"경기도 용인시 기흥구 구성로 88 (언남동, 102,103호)","경기도 용인시 기흥구 언남동 412-2번지 102,103호 ",16919,37.2941002,127.1189090
용인시,GS25용인마평점,20150601,영업,,N,,,편의점,"경기도 용인시 처인구 중부대로1504번길 1 (마평동, 1층일부)",경기도 용인시 처인구 마평동 888번지 1층일부,17145,37.2329100,127.2117939
용인시,GS25용인어정역점,20170530,영업,,N,,,편의점,"경기도 용인시 기흥구 어정로 129 (상하동, 118호 일부)",경기도 용인시 기흥구 상하동 483-1번지 118호 일부,16986,37.2758181,127.1440246
용인시,GS25남서울오토점,20170718,영업,,N,,,편의점,"경기도 용인시 기흥구 중부대로 242 (영덕동, 남서울오토허브 A동 224 225호)",경기도 용인시 기흥구 영덕동 1266번지 남서울오토허브 A동 224 225호,17095,37.2697945,127.0937414
용인시,GS25흥덕아이티점,20141104,영업,,N,,,편의점,"경기도 용인시 기흥구 흥덕1로 13, TOWER동 A0109호 (영덕동, 흥덕IT밸리 TOWER동)",경기도 용인시 기흥구 영덕동 1005번지 흥덕IT밸리 TOWER동 A0109호,16954,37.2708486,127.0661090
용인시,세븐일레븐용인마평중앙점,20180411,영업,,N,,,편의점,"경기도 용인시 처인구 경안천로36번길 30, 1층 (마평동)",경기도 용인시 처인구 마평동 653-2번지 1층 일부,17153,37.2354393,127.2132658
용인시,GS25용인멜로디점,20160526,영업,,N,,,편의점,"경기도 용인시 처인구 포곡읍 포곡로61번길 6, 상가동 지1층 009호","경기도 용인시 처인구 포곡읍 둔전리 406-51번지 상가동 지1층, 009호",17026,37.2677420,127.2128145
용인시,지에스25 죽전현대점,20180502,영업,,N,,,편의점,"경기도 용인시 수지구 죽전로 248, 1층 103호 (죽전동)",경기도 용인시 수지구 죽전동 1375-4번지 103호,16879,37.3317084,127.1281065
용인시,GS25백암근곡점,20160418,영업,,N,,,편의점,"경기도 용인시 처인구 백암면 청강가창로 1 (1층, 편의점 내)",경기도 용인시 처인구 백암면 근곡리 99-11번지,17172,37.1779492,127.3701689
용인시,GS25동백여강점,20180820,영업,,N,,,편의점,"경기도 용인시 기흥구 동백7로 77, 여강빌딩 1층 101-4호 (동백동)",경기도 용인시 기흥구 동백동 598-7번지 여강 101-4호,17003,37.2817902,127.1597433
용인시,세븐일레븐용인풍덕천사거리점,20180207,영업,,N,,,편의점,"경기도 용인시 수지구 풍덕천로190번길 25, 신건프라자 103호 일부호 (풍덕천동)",경기도 용인시 수지구 풍덕천동 945번지 신건프라자 103호,16833,37.3242904966,127.1023815997
용인시,GS편의점,20111118,영업,,N,,,편의점,"경기도 용인시 처인구 포곡읍 곡현로 200, 1층 (GS25편의점내)",경기도 용인시 처인구 포곡읍 유운리 242-1번지 외1필지 GS25편의점내 (1층),17022,37.3041850,127.2245899
용인시,GS25용인남동점,20110520,영업,,N,,,편의점,"경기도 용인시 처인구 명지로 163 (남동,GS25편의점내)",경기도 용인시 처인구 남동 92-2번지 GS25편의점내,17060,37.2265529,127.1932971
용인시,세븐일레븐용인백봉점,20180316,영업,,N,,,편의점,"경기도 용인시 처인구 백암면 죽양대로 798, 1층",경기도 용인시 처인구 백암면 백봉리 612-5번지 1층 일부,17180,37.1401230,127.3956360
용인시,GS25 수지제일점,20180621,영업,,N,,,편의점,"경기도 용인시 수지구 동천로 39, 동천코아프라자 111호 (동천동)",경기도 용인시 수지구 동천동 371-5번지 동천코아프라자 111호,16826,37.3403941778,127.0986478168
용인시,씨유용인마성점,20160622,영업,,N,,,편의점,경기도 용인시 처인구 포곡읍 석성로 813-4 (1층일부),경기도 용인시 처인구 포곡읍 마성리 167-11번지 1층일부,17024,37.2813259,127.1879549
용인시,씨유신갈오거리점,20170616,영업,,N,,,편의점,"경기도 용인시 기흥구 신갈로58번길 5, 1층 (신갈동, 씨유편의점내)",경기도 용인시 기흥구 신갈동 60-13번지 씨유편의점내,16969,37.2721539,127.1062703
용인시,세븐일레븐용인남사대로점,20161111,영업,,N,,,편의점,경기도 용인시 처인구 남사면 천덕산로 38 (1층),경기도 용인시 처인구 남사면 봉명리 668번지 1층 ,17118,37.1156740037,127.1122454999
용인시,미니스톱기흥보라점,20150622,영업,,N,,,편의점,"경기도 용인시 기흥구 한보라2로 170, 104호 (공세동)",경기도 용인시 기흥구 공세동 674번지 가상가동 104호,17083,37.2447426,127.1084419
용인시,세븐일레븐 동천유타워점,20160909,영업,,N,,,편의점,"경기도 용인시 수지구 신수로 767 (동천동, 분당수지유타워 B동 103호)",경기도 용인시 수지구 동천동 899번지 분당수지유타워 B동 103호 ,16827,37.3385907788,127.1010463119
용인시,지에스25처인유림로점,20170928,영업,,N,,,편의점,"경기도 용인시 처인구 유림로119번길 17-1 (유방동, 1층 일부)",경기도 용인시 처인구 유방동 85-16번지 1층 일부 ,17042,37.2591298,127.2014278
용인시,GS25처인금령점,20170314,영업,,N,,,편의점,"경기도 용인시 처인구 금령로34번길 9 (김량장동, 1층 일부)",경기도 용인시 처인구 김량장동 334-22번지 1층 일부,17049,37.2338854,127.1999867
용인시,CU기흥신갈점,20171106,영업,,N,,,편의점,"경기도 용인시 기흥구 신갈로96번길 23 (신갈동, 1층일부)",경기도 용인시 기흥구 신갈동 46-8번지 1층일부 ,16968,37.2752065,127.1084167
용인시,GS25용인포곡점,20140701,영업,,N,,,편의점,"경기도 용인시 처인구 포곡읍 전대로78번길 8, 1층",경기도 용인시 처인구 포곡읍 전대리 191-12번지 1층 ,17023,37.2855472539,127.2173408201
용인시,세븐일레븐용인평창점,20180712,영업,,N,,,편의점,"경기도 용인시 처인구 양지면 죽양대로 2027, 1층",경기도 용인시 처인구 양지면 평창리 641-33번지 1층 일부,17163,37.2162457,127.3193409
용인시,미니스톱용인송담대점,20080821,영업,,N,,,편의점,경기도 용인시 처인구 동부로 26 (마평동),경기도 용인시 처인구 마평동 595번지,17145,37.2307711,127.2137599
용인시,씨유용인보평역점,20170706,영업,,N,,,편의점,"경기도 용인시 처인구 경안천로 276 (고림동, 1층 일부)",경기도 용인시 처인구 고림동 958번지 1층 일부,17038,37.2557190,127.2196459
용인시,씨유용인남동점,20140404,영업,,N,,,편의점,"경기도 용인시 처인구 백옥대로 1037, 1층 (남동, 외2필지)","경기도 용인시 처인구 남동 26-4번지 외2필지, 1층",17063,37.2281639,127.2104849
용인시,세븐일레븐용인남곡점,20170119,영업,,N,,,편의점,경기도 용인시 처인구 양지면 남곡로 40 (1층 일부),경기도 용인시 처인구 양지면 남곡리 160-10번지 1층 일부,17161,37.2301057,127.2826978
용인시,GS25용인삼정점,20161212,영업,,N,,,편의점,"경기도 용인시 처인구 금어로 76 (고림동, 1층 일부)",경기도 용인시 처인구 고림동 1001번지 1층 일부,17038,37.2651561,127.2227393
용인시,GS 동천자이,20180919,영업,,N,,,편의점,"경기도 용인시 수지구 고기로 89, 상가동 A104호 (동천동, 동천자이아파트)",경기도 용인시 수지구 동천동 105-3번지 동천자이아파트 A104호,16824,37.3455375,127.0896343
용인시,CU용인매산점,20170922,영업,,N,,,편의점,"경기도 용인시 처인구 모현읍 곡현로 626, 1동 (1층 일부)",경기도 용인시 처인구 모현읍 매산리 258-2번지 1층 일부,17031,37.3397309,127.2242317
용인시,CU신갈신정점,20160519,영업,,N,,,편의점,"경기도 용인시 기흥구 신정로 226 (신갈동, 1층)",경기도 용인시 기흥구 신갈동 537-27번지 1층,16945,37.2889828,127.0981625
용인시,GS25,20140502,영업,,N,,,편의점,"경기도 용인시 기흥구 흥덕중앙로 120 (영덕동, 유타워 103호)",경기도 용인시 기흥구 영덕동 1029번지 유타워 103호,16950,37.2748224,127.0807811
용인시,세븐일레븐 용인상갈점,20160825,영업,,N,,,편의점,"경기도 용인시 기흥구 금화로82번길 9 (상갈동, 주공프라자 103호)",경기도 용인시 기흥구 상갈동 459-3번지 주공프라자 103호 ,17072,37.2658796147,127.1098242626
용인시,GS25흥덕중앙점,20160324,영업,,N,,,편의점,"경기도 용인시 기흥구 흥덕중앙로105번길 41 (영덕동, 101호)",경기도 용인시 기흥구 영덕동 952번지 101호,16951,37.2804018,127.0776071
용인시,인정매점,20170925,영업,,N,,,편의점,"경기도 용인시 처인구 금어로 2 (유방동, 인정레포츠센터, 5층일부, 501호)","경기도 용인시 처인구 유방동 1007-20번지 인정레포츠센터, 5층일부, 501호",17038,37.2646017,127.2154551
용인시,GS25공세빌리지,20141231,영업,,N,,,편의점,"경기도 용인시 기흥구 한일로9번길 3 (공세동, 103호일부)",경기도 용인시 기흥구 공세동 388-17번지 103호일부,17099,37.2433237,127.1029963
용인시,세븐일레븐용인터미널점,20160318,영업,,N,,,편의점,"경기도 용인시 처인구 중부대로 1486, A동 (김량장동, 1층일부)",경기도 용인시 처인구 김량장동 23-1번지,17063,37.2324714,127.2101474
용인시,GS25용인삼원점,20170721,영업,,N,,,편의점,"경기도 용인시 처인구 학산로 86 (김량장동, 1층 일부)",경기도 용인시 처인구 김량장동 167-5번지 1층 일부,17044,37.2386920,127.2081810
용인시,이마트24 신갈웰빙점,20180711,영업,,N,,,편의점,"경기도 용인시 기흥구 신갈로 140, 한솔플라자 1층 102일부호 (신갈동)",경기도 용인시 기흥구 신갈동 1-6번지 한솔플라자 1층 102일부호,16965,37.2790739,127.1061670
용인시,지에스25용인위브점,20160310,영업,,N,,,편의점,"경기도 용인시 처인구 지삼로590번길 9 (삼가동, 용인행정타운 두산위브2단지 근린생활시설동 1,2호일부)","경기도 용인시 처인구 삼가동 563번지 용인행정타운 두산위브2단지 근린생활시설동 1,2호일부",17090,37.2395212,127.1676234
용인시,GS25 수지아드리아,20180502,영업,,N,,,편의점,"경기도 용인시 수지구 풍덕천로160번길 9-17, 1층 (풍덕천동)",경기도 용인시 수지구 풍덕천동 69-88번지,16833,37.3246528,127.1000804
용인시,GS25둔전영재점,20170823,영업,,N,,,편의점,"경기도 용인시 처인구 포곡읍 포곡로 125, 107호 (1층 일부)",경기도 용인시 처인구 포곡읍 둔전리 190-11번지 1층 일부 ,17027,37.2704076,127.2186507
용인시,씨유용인신고림점,20140610,영업,,N,,,편의점,"경기도 용인시 처인구 한터로 122 (고림동, 1층일부)",경기도 용인시 처인구 고림동 360-2번지 1층일부,17149,37.2497996,127.2243403
용인시,CU마평제일점,20141015,영업,,N,,,편의점,경기도 용인시 처인구 동부로 21 (마평동),경기도 용인시 처인구 마평동 594-1번지,17145,37.2310768,127.2141214
용인시,GS25포곡제일점,20140605,영업,,N,,,편의점,경기도 용인시 처인구 포곡읍 전대로 85,경기도 용인시 처인구 포곡읍 전대리 360-5번지,17023,37.2851521,127.2166179
용인시,이마트24경희대국제캠퍼스점,20101115,영업,,N,,,편의점,"경기도 용인시 기흥구 서그내로15번길 41 (서천동,2층 경희학생할인마트내)",경기도 용인시 기흥구 서천동 5-1번지 2층 경희학생할인마트내,17104,37.2464599,127.0778553
용인시,GS25용인왕산점,20120424,영업,,N,,,편의점,"경기도 용인시 처인구 모현읍 백옥대로2438번길 2, 주신빌딩1동 1층 (GS25마트내)",경기도 용인시 처인구 모현읍 왕산리 774-1번지 주신빌딩1동 1층 GS25마트내,17035,37.3413724,127.2506433
용인시,세븐일레븐용인장미마을점,20131008,영업,,N,,,편의점,"경기도 용인시 기흥구 구성로 90 (언남동, 상가 동 102호)",경기도 용인시 기흥구 언남동 495번지 상가동 102호 ,16919,37.2928482286,127.1184673159
용인시,GS25기흥농서점,20171128,영업,,N,,,편의점,"경기도 용인시 기흥구 농서로 159 (농서동, 1층 일부)",경기도 용인시 기흥구 농서동 149-4번지 1층 일부,17113,37.2248241,127.0808874
용인시,세븐일레븐 기흥우림점,20160531,영업,,N,,,편의점,"경기도 용인시 기흥구 신구로42번길 14 (구갈동, 1층일부)",경기도 용인시 기흥구 구갈동 406-1번지 1층일부,16970,37.2757357,127.1110446
용인시,이마트24(용인동부로점),20171016,영업,,N,,,편의점,"경기도 용인시 처인구 동부로 134 (운학동, 1층 일부)",경기도 용인시 처인구 운학동 722-6번지 1층 일부 ,17141,37.2247458116,127.2222614867
용인시,세븐일레븐용인고안점,20170310,영업,,N,,,편의점,경기도 용인시 처인구 백암면 원설로 687 (1층 일부),경기도 용인시 처인구 백암면 고안리 675번지 1층 일부,17180,37.1403982,127.4075564
용인시,세븐일레븐용인블루원,20151209,영업,,N,,,편의점,경기도 용인시 처인구 원삼면 보개원삼로 1595 (1층일부),경기도 용인시 처인구 원삼면 죽능리 193-1번지 1층일부 ,17170,37.1367881417,127.3070912004
용인시,세븐일레븐용인송문우리점,20170510,영업,,N,,,편의점,경기도 용인시 처인구 양지면 중부대로 1926-1 (1층 일부),경기도 용인시 처인구 양지면 송문리 405-1번지 1층 일부,17160,37.2251363,127.2567865
용인시,GS25신갈태광점,20110512,영업,,N,,,편의점,"경기도 용인시 기흥구 신정로41번길 1-1 (신갈동,1층일부)",경기도 용인시 기흥구 신갈동 412-82번지 1층일부,17094,37.2747066,127.1030491
용인시,GS25언남중앙점,20170817,영업,,N,,,편의점,"경기도 용인시 기흥구 구성로 102, 1층 113호 (언남동, 푸른종합상가 GS편의점내)",경기도 용인시 기흥구 언남동 416-5번지 푸른종합상가 GS편의점내 113호,16919,37.2933780,127.1203289
용인시,세븐일레븐용인고림점,20110223,영업,,N,,,편의점,"경기도 용인시 처인구 고림로110번길 27 (고림동,세븐일레븐용인고림점)",경기도 용인시 처인구 고림동 748-7번지 세븐일레븐용인고림점,17151,37.2402711,127.2170434
용인시,씨유(CU)수지여진점,20130131,영업,,N,,,편의점,"경기도 용인시 수지구 죽전로27번길 60 (죽전동, 도담주공8단지A 상가동 105호)",경기도 용인시 수지구 죽전동 1279번지 도담주공8단지A 상가동 105호,16874,37.3249839,127.1129655
용인시,이마트24용인신원점,20161216,영업,,N,,,편의점,"경기도 용인시 처인구 포곡읍 곡현로 296, B동 (1층일부)",경기도 용인시 처인구 포곡읍 신원리 340-1번지 B동 1층일부,17022,37.3112649,127.2208769
